,dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2019,continentExp
0,08/07/2020,8,7,2020,210,16,Afghanistan,AF,AFG,38041757.0,Asia
1,07/07/2020,7,7,2020,433,56,Afghanistan,AF,AFG,38041757.0,Asia
2,06/07/2020,6,7,2020,279,38,Afghanistan,AF,AFG,38041757.0,Asia
3,05/07/2020,5,7,2020,348,7,Afghanistan,AF,AFG,38041757.0,Asia
4,04/07/2020,4,7,2020,302,12,Afghanistan,AF,AFG,38041757.0,Asia
5,03/07/2020,3,7,2020,186,33,Afghanistan,AF,AFG,38041757.0,Asia
6,02/07/2020,2,7,2020,319,28,Afghanistan,AF,AFG,38041757.0,Asia
7,01/07/2020,1,7,2020,279,13,Afghanistan,AF,AFG,38041757.0,Asia
8,30/06/2020,30,6,2020,271,12,Afghanistan,AF,AFG,38041757.0,Asia
9,29/06/2020,29,6,2020,351,18,Afghanistan,AF,AFG,38041757.0,Asia
10,28/06/2020,28,6,2020,165,20,Afghanistan,AF,AFG,38041757.0,Asia
11,27/06/2020,27,6,2020,276,8,Afghanistan,AF,AFG,38041757.0,Asia
12,26/06/2020,26,6,2020,460,36,Afghanistan,AF,AFG,38041757.0,Asia
13,25/06/2020,25,6,2020,234,21,Afghanistan,AF,AFG,38041757.0,Asia
14,24/06/2020,24,6,2020,338,20,Afghanistan,AF,AFG,38041757.0,Asia
15,23/06/2020,23,6,2020,310,17,Afghanistan,AF,AFG,38041757.0,Asia
16,22/06/2020,22,6,2020,409,12,Afghanistan,AF,AFG,38041757.0,Asia
17,21/06/2020,21,6,2020,546,21,Afghanistan,AF,AFG,38041757.0,Asia
18,20/06/2020,20,6,2020,346,2,Afghanistan,AF,AFG,38041757.0,Asia
19,19/06/2020,19,6,2020,658,42,Afghanistan,AF,AFG,38041757.0,Asia
20,18/06/2020,18,6,2020,564,13,Afghanistan,AF,AFG,38041757.0,Asia
21,17/06/2020,17,6,2020,783,13,Afghanistan,AF,AFG,38041757.0,Asia
22,16/06/2020,16,6,2020,761,7,Afghanistan,AF,AFG,38041757.0,Asia
23,15/06/2020,15,6,2020,664,20,Afghanistan,AF,AFG,38041757.0,Asia
24,14/06/2020,14,6,2020,556,5,Afghanistan,AF,AFG,38041757.0,Asia
25,13/06/2020,13,6,2020,656,20,Afghanistan,AF,AFG,38041757.0,Asia
26,12/06/2020,12,6,2020,747,21,Afghanistan,AF,AFG,38041757.0,Asia
27,11/06/2020,11,6,2020,684,21,Afghanistan,AF,AFG,38041757.0,Asia
28,10/06/2020,10,6,2020,542,15,Afghanistan,AF,AFG,38041757.0,Asia
29,09/06/2020,9,6,2020,575,12,Afghanistan,AF,AFG,38041757.0,Asia
30,08/06/2020,8,6,2020,791,30,Afghanistan,AF,AFG,38041757.0,Asia
31,07/06/2020,7,6,2020,582,18,Afghanistan,AF,AFG,38041757.0,Asia
32,06/06/2020,6,6,2020,915,9,Afghanistan,AF,AFG,38041757.0,Asia
33,05/06/2020,5,6,2020,787,6,Afghanistan,AF,AFG,38041757.0,Asia
34,04/06/2020,4,6,2020,758,24,Afghanistan,AF,AFG,38041757.0,Asia
35,03/06/2020,3,6,2020,759,5,Afghanistan,AF,AFG,38041757.0,Asia
36,02/06/2020,2,6,2020,545,8,Afghanistan,AF,AFG,38041757.0,Asia
37,01/06/2020,1,6,2020,680,8,Afghanistan,AF,AFG,38041757.0,Asia
38,31/05/2020,31,5,2020,866,3,Afghanistan,AF,AFG,38041757.0,Asia
39,30/05/2020,30,5,2020,623,11,Afghanistan,AF,AFG,38041757.0,Asia
40,29/05/2020,29,5,2020,580,8,Afghanistan,AF,AFG,38041757.0,Asia
41,28/05/2020,28,5,2020,625,7,Afghanistan,AF,AFG,38041757.0,Asia
42,27/05/2020,27,5,2020,658,1,Afghanistan,AF,AFG,38041757.0,Asia
43,26/05/2020,26,5,2020,591,1,Afghanistan,AF,AFG,38041757.0,Asia
44,25/05/2020,25,5,2020,584,2,Afghanistan,AF,AFG,38041757.0,Asia
45,24/05/2020,24,5,2020,782,11,Afghanistan,AF,AFG,38041757.0,Asia
46,23/05/2020,23,5,2020,540,12,Afghanistan,AF,AFG,38041757.0,Asia
47,22/05/2020,22,5,2020,531,6,Afghanistan,AF,AFG,38041757.0,Asia
48,21/05/2020,21,5,2020,492,9,Afghanistan,AF,AFG,38041757.0,Asia
49,20/05/2020,20,5,2020,581,5,Afghanistan,AF,AFG,38041757.0,Asia
50,19/05/2020,19,5,2020,408,4,Afghanistan,AF,AFG,38041757.0,Asia
51,18/05/2020,18,5,2020,262,1,Afghanistan,AF,AFG,38041757.0,Asia
52,17/05/2020,17,5,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
53,16/05/2020,16,5,2020,1063,32,Afghanistan,AF,AFG,38041757.0,Asia
54,15/05/2020,15,5,2020,113,6,Afghanistan,AF,AFG,38041757.0,Asia
55,14/05/2020,14,5,2020,259,3,Afghanistan,AF,AFG,38041757.0,Asia
56,13/05/2020,13,5,2020,280,5,Afghanistan,AF,AFG,38041757.0,Asia
57,12/05/2020,12,5,2020,285,2,Afghanistan,AF,AFG,38041757.0,Asia
58,11/05/2020,11,5,2020,369,5,Afghanistan,AF,AFG,38041757.0,Asia
59,10/05/2020,10,5,2020,255,6,Afghanistan,AF,AFG,38041757.0,Asia
60,09/05/2020,9,5,2020,215,3,Afghanistan,AF,AFG,38041757.0,Asia
61,08/05/2020,8,5,2020,171,2,Afghanistan,AF,AFG,38041757.0,Asia
62,07/05/2020,7,5,2020,168,9,Afghanistan,AF,AFG,38041757.0,Asia
63,06/05/2020,6,5,2020,330,5,Afghanistan,AF,AFG,38041757.0,Asia
64,05/05/2020,5,5,2020,190,5,Afghanistan,AF,AFG,38041757.0,Asia
65,04/05/2020,4,5,2020,235,13,Afghanistan,AF,AFG,38041757.0,Asia
66,03/05/2020,3,5,2020,134,4,Afghanistan,AF,AFG,38041757.0,Asia
67,02/05/2020,2,5,2020,164,4,Afghanistan,AF,AFG,38041757.0,Asia
68,01/05/2020,1,5,2020,222,4,Afghanistan,AF,AFG,38041757.0,Asia
69,30/04/2020,30,4,2020,122,0,Afghanistan,AF,AFG,38041757.0,Asia
70,29/04/2020,29,4,2020,124,3,Afghanistan,AF,AFG,38041757.0,Asia
71,28/04/2020,28,4,2020,172,0,Afghanistan,AF,AFG,38041757.0,Asia
72,27/04/2020,27,4,2020,68,10,Afghanistan,AF,AFG,38041757.0,Asia
73,26/04/2020,26,4,2020,112,4,Afghanistan,AF,AFG,38041757.0,Asia
74,25/04/2020,25,4,2020,70,1,Afghanistan,AF,AFG,38041757.0,Asia
75,24/04/2020,24,4,2020,105,2,Afghanistan,AF,AFG,38041757.0,Asia
76,23/04/2020,23,4,2020,84,4,Afghanistan,AF,AFG,38041757.0,Asia
77,22/04/2020,22,4,2020,61,1,Afghanistan,AF,AFG,38041757.0,Asia
78,21/04/2020,21,4,2020,35,2,Afghanistan,AF,AFG,38041757.0,Asia
79,20/04/2020,20,4,2020,88,3,Afghanistan,AF,AFG,38041757.0,Asia
80,19/04/2020,19,4,2020,63,0,Afghanistan,AF,AFG,38041757.0,Asia
81,18/04/2020,18,4,2020,51,1,Afghanistan,AF,AFG,38041757.0,Asia
82,17/04/2020,17,4,2020,10,4,Afghanistan,AF,AFG,38041757.0,Asia
83,16/04/2020,16,4,2020,70,2,Afghanistan,AF,AFG,38041757.0,Asia
84,15/04/2020,15,4,2020,49,2,Afghanistan,AF,AFG,38041757.0,Asia
85,14/04/2020,14,4,2020,58,3,Afghanistan,AF,AFG,38041757.0,Asia
86,13/04/2020,13,4,2020,52,0,Afghanistan,AF,AFG,38041757.0,Asia
87,12/04/2020,12,4,2020,34,3,Afghanistan,AF,AFG,38041757.0,Asia
88,11/04/2020,11,4,2020,37,0,Afghanistan,AF,AFG,38041757.0,Asia
89,10/04/2020,10,4,2020,61,1,Afghanistan,AF,AFG,38041757.0,Asia
90,09/04/2020,9,4,2020,56,3,Afghanistan,AF,AFG,38041757.0,Asia
91,08/04/2020,8,4,2020,30,4,Afghanistan,AF,AFG,38041757.0,Asia
92,07/04/2020,7,4,2020,38,0,Afghanistan,AF,AFG,38041757.0,Asia
93,06/04/2020,6,4,2020,29,2,Afghanistan,AF,AFG,38041757.0,Asia
94,05/04/2020,5,4,2020,35,1,Afghanistan,AF,AFG,38041757.0,Asia
95,04/04/2020,4,4,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
96,03/04/2020,3,4,2020,43,0,Afghanistan,AF,AFG,38041757.0,Asia
97,02/04/2020,2,4,2020,26,0,Afghanistan,AF,AFG,38041757.0,Asia
98,01/04/2020,1,4,2020,25,0,Afghanistan,AF,AFG,38041757.0,Asia
99,31/03/2020,31,3,2020,27,0,Afghanistan,AF,AFG,38041757.0,Asia
100,30/03/2020,30,3,2020,8,1,Afghanistan,AF,AFG,38041757.0,Asia
101,29/03/2020,29,3,2020,15,1,Afghanistan,AF,AFG,38041757.0,Asia
102,28/03/2020,28,3,2020,16,1,Afghanistan,AF,AFG,38041757.0,Asia
103,27/03/2020,27,3,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
104,26/03/2020,26,3,2020,33,0,Afghanistan,AF,AFG,38041757.0,Asia
105,25/03/2020,25,3,2020,2,0,Afghanistan,AF,AFG,38041757.0,Asia
106,24/03/2020,24,3,2020,6,1,Afghanistan,AF,AFG,38041757.0,Asia
107,23/03/2020,23,3,2020,10,0,Afghanistan,AF,AFG,38041757.0,Asia
108,22/03/2020,22,3,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
109,21/03/2020,21,3,2020,2,0,Afghanistan,AF,AFG,38041757.0,Asia
110,20/03/2020,20,3,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
111,19/03/2020,19,3,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
112,18/03/2020,18,3,2020,1,0,Afghanistan,AF,AFG,38041757.0,Asia
113,17/03/2020,17,3,2020,5,0,Afghanistan,AF,AFG,38041757.0,Asia
114,16/03/2020,16,3,2020,6,0,Afghanistan,AF,AFG,38041757.0,Asia
115,15/03/2020,15,3,2020,3,0,Afghanistan,AF,AFG,38041757.0,Asia
116,11/03/2020,11,3,2020,3,0,Afghanistan,AF,AFG,38041757.0,Asia
117,08/03/2020,8,3,2020,3,0,Afghanistan,AF,AFG,38041757.0,Asia
118,02/03/2020,2,3,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
119,01/03/2020,1,3,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
120,29/02/2020,29,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
121,28/02/2020,28,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
122,27/02/2020,27,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
123,26/02/2020,26,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
124,25/02/2020,25,2,2020,1,0,Afghanistan,AF,AFG,38041757.0,Asia
125,24/02/2020,24,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
126,23/02/2020,23,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
127,22/02/2020,22,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
128,21/02/2020,21,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
129,20/02/2020,20,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
130,19/02/2020,19,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
131,18/02/2020,18,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
132,17/02/2020,17,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
133,16/02/2020,16,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
134,15/02/2020,15,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
135,14/02/2020,14,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
136,13/02/2020,13,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
137,12/02/2020,12,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
138,11/02/2020,11,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
139,10/02/2020,10,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
140,09/02/2020,9,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
141,08/02/2020,8,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
142,07/02/2020,7,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
143,06/02/2020,6,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
144,05/02/2020,5,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
145,04/02/2020,4,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
146,03/02/2020,3,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
